Keys,fr
UI_EXIT_TO_OS,Quitter le jeu
UI_CONTINUE#2,Continuer
UI_GAME_OVER,Terminer
UI_CARGO_CAPACITY,Capacité de transport
UI_MONEY,Crédits
UI_RESOURCE,Ressource
UI_YOUR_STOCK,Votre stock
UI_SELL_PRICE,Prix de vente
UI_SELL,Vendre
UI_PURCHASE,Acheter
UI_BUY_PRICE,Prix d'achat
UI_TRADER_STOCK,Stock du vendeur
UI_TOTAL_TRADE_VALUE,Montant total des échanges :
UI_TRADE,Commercer
UI_PLAYER,Joueur
UI_TRADER,Commerçant
UI_RESET,Réinitialiser
UI_ACCEPT,Accepter
UI_ADD,Ajouter
UI_TYPE_NEW_ROLE,Écrivez ici votre nouveau rôle
UI_SHIP_ROLES,Rôles du vaisseau
UI_JOBS,Métiers
UI_SCHEDULE,Planning
UI_ADD_REMOVE_ROLES,Ajouter/Supprimer des rôles
UI_ROLE_NAME,Nom du rôle
UI_NUMBER_OF_MEMBERS,Équipage : #
UI_REMOVE,Enlever
UI_HOTKEY,Touche
UI_HEALTH,Santé
UI_NO_MATS_REQ,Aucun matériel requis
HINT_ROTATE_LEFT,Tourner à gauche
HINT_ROTATE_RIGHT,Tourner à gauche
UI_QUARTERMASTER,Quartier-maître
UI_CAPTAIN,Capitaine
UI_REG_SHIP_NAME,Nom enregistré
UI_SYS_MONITOR,Moniteur système
UI_ALERT,Alerte
UI_CARGO,Cargaison
UI_POWER_OUTPUT,Puissance de sortie
UI_POWER_USAGE,Puissance utilisée
UI_STORED_POWER,Puissance stockée
UI_STORED_GAS,Gaz stocké
UI_MAX_STORAGE,Stockage max
UI_WORK_TO_BUILD,Progression de la construction
UI_GAS_PROVIDED,Production de gaz
UI_GAS_SUPPLIED,Réception de gaz
UI_GAS_USAGE,Utilisation du gaz
UI_GAS_OUTPUT,Sortie de gaz
UI_FUEL_REQUIRED,Carburant nécessaire
UI_FUEL,Carburant
UI_ENTER_NAME,Saisissez votre nom
UI_AUTO_SAVE,Autoriser les sauvegardes automatiques
UI_HELP,Aide
UI_GITHUB,Github
UI_MAX_HP,Hit Points max
UI_DETERIORATION,Taux de détérioration
UI_FLAMMABILITY,Inflammabilité
UI_MARKET_VALUE,Valeur de marché
UI_PRICE_MULTIPLIER,Multiplicateur de prix
UI_MASS,Masse 
UI_COMFORT,Confort
DEFAULT_NO_NAME,Pas de nom
DEFAULT_NO_TITLE,Pas de titre
DEFAULT_NO_DESCRIPTION,Pas de description
UI_DESCRIPTION,Description
UNSUPPORTED_RESOLUTION,Résolution non supportée
UI_SHIP_WEIGHT_CAP,Capacité de chargement du vaisseau
UI_ZONES,Zones
UI_ALLOW_ALL,Tout autoriser
UI_REMOVE_ALL,Tout supprimer
UI_PROFESSION,Profession
UI_PREVIOUS,Précédent
UI_CURRENT,Actuel
UI_INFO,Info
UI_AGE,Âge
UI_GENDER,Genre
UI_DIET,Régime alimentaire
UI_HEALTH_CONDITIONS,Conditions
UI_INJURIES,Blessures
UI_HYDRATION,Hydratation
UI_ENERGY,Énergie
UI_FULLNESS,Satiété
UI_HISTORY,Histoire
UI_SKILLS,Compétences
UI_STATISTICS,Statistiques
UI_PRIMARY_MATERIAL,Matériel primaire
UI_SECONDARY_MATERIAL,Matériel secondaire
UI_EXPORT_SHIP_LAYOUT,Exporter le plan du vaisseau
UI_EXPORT_SHIP,Exporter le vaisseau
UI_EXPORT,Exporter
UI_CURRENT_TRACK,Piste actuelle :
UI_NEEDS,Besoins
UI_UNIVERSE_CREATION,Création de l'univers
UI_FACTIONS_AVAILABLE,Factions disponibles
UI_FACTIONS_SELECTED,Factions sélectionnées
UI_BUILDING,Construction
UI_RESEARCH_MENU,Recherche
UI_ORDERS_MENU,Ordres
UI_GAME_INFO,Informations sur le jeu
UI_FACTIONS,Factions
UI_FACTION,Faction
UI_RESPIRATION,Respiration
UI_PRIORITY,Priorité
UI_ROSTER,Tableau de service
UI_ANIMALS,Animaux
UI_ROOMS,Pièces
UI_EQUIPMENT,Équipement
UI_CHOOSE_EMBLEM,Choisir une emblème
UI_PICK_A_COLOUR,Choisir une couleur
UI_RECORDS,Enregistrements
UI_TRADE#2,Commercer
UI_BRIBE,Soudoyer
UI_NEGOTIATE,Négocier
UI_COMMUNICATE,Ouvrir les communications
UI_BRIBE_TO_LEAVE,Pot-de-vin pour partir
UI_BRIBE_THEM_TO_TRADE,Pot-de-vin pour commercer
UI_JOBS_PRIORITY_EXPLANATION,Un petit score signifie une priorité haute.
UI_CONTAINED_MATERIALS,Matériaux contenus :
UI_CROP,Culture
UI_SEED_AMOUNT,Graines disponibles
UI_INGREDIENT,Ingrédients
UI_RECIPE,Recette
UI_GAME_STATS,Statistiques de jeu
UI_EXIT_SURVEY,Quitter la surveillance
UI_WISHLIST,LISTE DE SOUHAITS !
UI_GAMETYPE,Type de jeu
UI_HARMONY,Harmonie
UI_RANDOM,Au hasard
UI_DAYS_PASSED,Jours passés
UI_TOTAL_WEALTH,Richesse totale
UI_STARTING_CREW,Équipage de départ :
UI_SELECT_FACTIONS,Choisir les factions :
UI_BURN_METER,Taux combustion
UI_LEADER,Dirigeant
UI_SHIP_TYPE,Type de vaisseau
UI_DISTANCE_TRAVELLED,Distance parcourue
UI_TOOLTIP_SPEED,Vitesse des infobulles
UI_PREPARE_ORDERS,Préparer les commandes
UI_SEND_ORDERS,Envoyer les commandes
UI_ORDER_DETAILS,Détail des commandes
UI_INITIATE_SCAN,Commencer le scan
UI_SEND_AWAY_TEAM,Envoyer équipe
UI_RESET_LESSONS,Réinitialiser les leçons
UI_ROOM_ASSIGNMENT,Allocation des pièces
UI_HANDBOOK,Manuel d'utilisation
UI_GAME_DATE,Date de début
UI_SCALE,Échelle de l'IU
UI_RESTORE_DEFAULTS,Rétablir paramètres par défaut
UI_AWAITING_KEY_PRESS,En attente d'un appui sur une touche...
UI_SET_NEW_KEYBIND,Définir nouveau raccourci clavier
UI_CREATE_CAPTAIN,Créer un capitaine
